text
어릴적 아빠랑 손잡고 영화관에서 처음 본 영화!벨로시렙터가 따라올땐 티렉스보다 더 무서웠음
처음 봤을때 진짜 놀라움이 그치지 못함.. 스필버그는 참 대단하긴 대단하다.
"30년이 다 되어가는 영화임에도 설정, 연출, 각본, 음악, 영상미 무엇하나 최고로 손 꼽지 않을 수가 없다.  천문학적인 돈과 발전된 CG로 스케일을 어마어마하게 키워도 오리지날의 이 감성은 흉내낼 수 없는 영역에 있는 듯."
"옛날 영화라그런지 주인공빼고 모두 머저리들같음 뜬금없이 계속 삽질해서 일부러 공룡한테 맞음ㅋㅋ 고구마백만개, 93년도 작품인데 영상미는 감동 추억도 있고~"
제가 어릴 때 가장 좋아했던 영화공룡을 좋아했지만 그것보다 영화가 진짜 대박이었음 90년대에 이런 퀼리티의 영화가 탄생되는게 정말 소름 끼침..역시 명장 스필버그 존경하는 감독이기도함 죠스. 라이언일병구하기. 그리고 쥬라기공원 이분 없었으면 어땠을지...지금도 쥬라기공원 자주 보는데 하나도 질리지 않고 요새 나오는 영화보다 100배 천배 재밌습니다 ㅎㅎ
인생영화~! 완전 최고!
"티랙스, 다음에는 많이 이겨보자"
공룡을 만나면 멈춰야한다는걸 알려준 영화
"8살 때 이 영화 처음 보고 중1 지금까지 쥬라기 시리즈를 전부 정주행한 뒤에 쥬라기 시리즈의 팬이 되었는데, 정말 티라노 사우루스가 철책을 뚫고 등장하는 장면만 좋아하던 8살 때 저는 지금이 돼서야 쥬라기공원의 방대한 스토리와 세계관의 탄탄함, 그래픽의 어마무시한 진화를 알아보고 명작이라는 것을 깨닫게 되었습니다."
감히 명작이라고 말할수 있는 영화
어릴적 아빠랑 손잡고 영화관에서 처음 본 영화!벨로시렙터가 따라올땐 티렉스보다 더 무서웠음
처음 봤을때 진짜 놀라움이 그치지 못함.. 스필버그는 참 대단하긴 대단하다.
"30년이 다 되어가는 영화임에도 설정, 연출, 각본, 음악, 영상미 무엇하나 최고로 손 꼽지 않을 수가 없다.  천문학적인 돈과 발전된 CG로 스케일을 어마어마하게 키워도 오리지날의 이 감성은 흉내낼 수 없는 영역에 있는 듯."
"옛날 영화라그런지 주인공빼고 모두 머저리들같음 뜬금없이 계속 삽질해서 일부러 공룡한테 맞음ㅋㅋ 고구마백만개, 93년도 작품인데 영상미는 감동 추억도 있고~"
제가 어릴 때 가장 좋아했던 영화공룡을 좋아했지만 그것보다 영화가 진짜 대박이었음 90년대에 이런 퀼리티의 영화가 탄생되는게 정말 소름 끼침..역시 명장 스필버그 존경하는 감독이기도함 죠스. 라이언일병구하기. 그리고 쥬라기공원 이분 없었으면 어땠을지...지금도 쥬라기공원 자주 보는데 하나도 질리지 않고 요새 나오는 영화보다 100배 천배 재밌습니다 ㅎㅎ
인생영화~! 완전 최고!
"티랙스, 다음에는 많이 이겨보자"
공룡을 만나면 멈춰야한다는걸 알려준 영화
"8살 때 이 영화 처음 보고 중1 지금까지 쥬라기 시리즈를 전부 정주행한 뒤에 쥬라기 시리즈의 팬이 되었는데, 정말 티라노 사우루스가 철책을 뚫고 등장하는 장면만 좋아하던 8살 때 저는 지금이 돼서야 쥬라기공원의 방대한 스토리와 세계관의 탄탄함, 그래픽의 어마무시한 진화를 알아보고 명작이라는 것을 깨닫게 되었습니다."
감히 명작이라고 말할수 있는 영화
어릴적 아빠랑 손잡고 영화관에서 처음 본 영화!벨로시렙터가 따라올땐 티렉스보다 더 무서웠음
처음 봤을때 진짜 놀라움이 그치지 못함.. 스필버그는 참 대단하긴 대단하다.
"30년이 다 되어가는 영화임에도 설정, 연출, 각본, 음악, 영상미 무엇하나 최고로 손 꼽지 않을 수가 없다.  천문학적인 돈과 발전된 CG로 스케일을 어마어마하게 키워도 오리지날의 이 감성은 흉내낼 수 없는 영역에 있는 듯."
"옛날 영화라그런지 주인공빼고 모두 머저리들같음 뜬금없이 계속 삽질해서 일부러 공룡한테 맞음ㅋㅋ 고구마백만개, 93년도 작품인데 영상미는 감동 추억도 있고~"
제가 어릴 때 가장 좋아했던 영화공룡을 좋아했지만 그것보다 영화가 진짜 대박이었음 90년대에 이런 퀼리티의 영화가 탄생되는게 정말 소름 끼침..역시 명장 스필버그 존경하는 감독이기도함 죠스. 라이언일병구하기. 그리고 쥬라기공원 이분 없었으면 어땠을지...지금도 쥬라기공원 자주 보는데 하나도 질리지 않고 요새 나오는 영화보다 100배 천배 재밌습니다 ㅎㅎ
인생영화~! 완전 최고!
